name,artist,rank,weeks
Way 2 Sexy,Drake,46,15
Love Nwantiti (Ah Ah Ah),CKay,47,13
Knife Talk,Drake,48,15
Mistletoe,Justin Bieber,49,11
Santa Baby,Eartha Kitt With Henri Rene,50,1
Oh My God,Adele,51,4
Thinking 'Bout You,Dustin Lynch,52,18
Better Days,NEIKED X Mae Muller X Polo G,53,9
Already Dead,Juice WRLD,54,4
Wandered To LA.,Juice WRLD,55,2
Feline,"Juice WRLD, Polo G",56,1
Buy Dirt,Jordan Davis,57,19
Meet Me At Our Spot,THE ANXIETY: WILLOW,58,14
All Too Well (Taylor's Version),Taylor Swift,59,5
Girls Want Girls,Drake,60,15
You Should Probably Leave,Chris Stapleton,61,24
Who Want Smoke??,Nardo Wick,62,10
Rockstar In His Prime,Juice WRLD,63,1
You Wouldn't Understand,Juice WRLD,64,1
Whiskey And Rain,Michael Ray,65,11
Merry Christmas,Ed Sheeran,66,2
Sand In My Boots,Morgan Wallen,67,22
Enemy,Imagine Dragons X JID,68,4
By Your Side,Rod Wave,69,3
Have Mercy,Chloe,70,14
Big Energy,Latto,71,8
Cold As You,Luke Combs,72,20
Chosen,Blxst,73,12
My Universe,Coldplay x BTS,74,12
Doom,Juice WRLD,75,1
Go Hard,Juice WRLD,76,1
One Mississippi,Kane Brown,77,12
Woman,Doja Cat,78,20
Pick Out A Christmas Tree,Dan + Shay,79,3
Not Enough,Juice WRLD,80,1
Christmas Tree Farm (Old Timey Version),Taylor Swift,81,3
Man In The Mirror,A Boogie Wit da Hoodie,82,1
I'll Be Home For Christmas,Camila Cabello,83,2
Knowing You,Kenny Chesney,84,18
To Be Loved By You,Parker McCollum,85,3
From My Window,Juice WRLD,86,1
Relocate,Juice WRLD,87,1
'Til You Can't,Cody Johnson,88,10
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,89,5
Tequila Little Time,Jon Pardi,90,10
For Tonight,Giveon,91,11
Same Boat,Zac Brown Band,92,13
Family Ties,Baby Keem,93,16
Scorpio,Moneybagg Yo,94,4
Freedom Was A Highway,Jimmie Allen,95,10
No Love,Summer Walker,96,6
Bad Man (Smooth Criminal),Polo G,97,5
Feel Alone,Juice WRLD,98,1
Heart On Fire,Eric Church,99,4
Bubbly,Young Thug With Drake,100,9
Easy On Me,Adele,1,9
All I Want For Christmas Is You,Mariah Carey,2,48
Rockin' Around The Christmas Tree,Brenda Lee,3,42
Stay,The Kid LAROI,4,22
A Holly Jolly Christmas,Burl Ives,5,23
Jingle Bell Rock,Bobby Helms,6,39
I Hate U,SZA,7,1
Industry Baby,Lil Nas X,8,20
Heat Waves,Glass Animals,9,47
It's The Most Wonderful Time Of The Year,Andy Williams,10,24
Shivers,Ed Sheeran,11,13
Need To Know,Doja Cat,12,26
Last Christmas,Wham!,13,22
Feliz Navidad,Jose Feliciano,14,17
abcdefu,GAYLE,15,3
